,classifier,hyperparameters,errror
0,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",2.6975531169768545
1,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",2.6373999969141044
2,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'best'}",2.641293010571798
3,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 4, 'splitter': 'random'}",2.8505880850611662
4,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 30, 'splitter': 'best'}",2.5143131457437593
5,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 30, 'splitter': 'random'}",2.6810323519863473
6,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 2, 'splitter': 'best'}",2.811526177512331
7,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 2, 'splitter': 'random'}",2.723821793564704
8,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 4, 'splitter': 'best'}",2.55663372113224
9,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 4, 'splitter': 'random'}",2.912788736243496
10,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 30, 'splitter': 'best'}",2.500425020463822
11,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_split': 30, 'splitter': 'random'}",2.775492917708184
12,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 2, 'splitter': 'best'}",2.7795372787963064
13,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 2, 'splitter': 'random'}",2.699440904633067
14,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 4, 'splitter': 'best'}",2.6119877586352938
15,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 4, 'splitter': 'random'}",2.6997024877101223
16,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 30, 'splitter': 'best'}",2.4821465219620067
17,Decision Tree Regressor,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_split': 30, 'splitter': 'random'}",2.8189012422091997
