,classifier,hyperparameters,errror
0,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0511866819811804
1,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.279029607912622
2,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.7601846519223354
3,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.7660350887379
4,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.053311420695056
5,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.3486471025996156
6,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.788205372454028
7,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.7821240071909425
8,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0387884990387417
9,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.350899790729759
10,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.7594730969479926
11,Random Forest,"{'n_estimators': 100, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.760964541176507
12,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.032262695428756
13,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.565831699732156
14,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.4142248015512497
15,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.3338574701748542
16,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0452413428778287
17,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.486138375702882
18,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.3569159936407837
19,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.3886190780366165
20,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.028966139200784
21,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.4409850052620827
22,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.3741956588499358
