,classifier,hyperparameters,errror
0,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",3.022707582797173
1,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.297793034601633
2,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.004, 'learning_rate': 'constant', 'max_iter': 2000}",4.249449668654531
3,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.004, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.0474168676323137
4,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.005, 'learning_rate': 'constant', 'max_iter': 2000}",2.74806230749132
5,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'relu', 'learning_rate_init': 0.005, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.0634383382876775
6,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",2.9659682503806524
7,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.6762146627771806
8,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.004, 'learning_rate': 'constant', 'max_iter': 2000}",2.72988780224018
9,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.004, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.4648610996341644
10,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.005, 'learning_rate': 'constant', 'max_iter': 2000}",3.6195268273284302
11,Perceptrón,"{'hidden_layer_sizes': 100, 'activation': 'tanh', 'learning_rate_init': 0.005, 'learning_rate': 'adaptive', 'max_iter': 2000}",3.245241690146554
12,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",3.0977149252328533
13,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",2.7430098018171782
14,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.004, 'learning_rate': 'constant', 'max_iter': 2000}",2.5687570086551252
15,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.004, 'learning_rate': 'adaptive', 'max_iter': 2000}",2.829199149291571
16,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.005, 'learning_rate': 'constant', 'max_iter': 2000}",3.373269018936839
17,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'relu', 'learning_rate_init': 0.005, 'learning_rate': 'adaptive', 'max_iter': 2000}",2.8231617218631992
18,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'tanh', 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",3.46566500167694
19,Perceptrón,"{'hidden_layer_sizes': 200, 'activation': 'tanh', 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",2.938200608307987
