,classifier,hyperparameters,errror
0,SVR,"{'epsilon': 0, 'C': 1, 'max_iter': 2000}",2.2297187110988896
1,SVR,"{'epsilon': 0, 'C': 0.01, 'max_iter': 2000}",1.8938467630174207
2,SVR,"{'epsilon': 0, 'C': 0.001, 'max_iter': 2000}",1.9690139102393618
3,SVR,"{'epsilon': 0, 'C': 0.0001, 'max_iter': 2000}",2.059469494698821
4,SVR,"{'epsilon': 0.1, 'C': 1, 'max_iter': 2000}",2.051451325915304
5,SVR,"{'epsilon': 0.1, 'C': 0.01, 'max_iter': 2000}",2.1196499335373753
6,SVR,"{'epsilon': 0.1, 'C': 0.001, 'max_iter': 2000}",2.014078607402548
7,SVR,"{'epsilon': 0.1, 'C': 0.0001, 'max_iter': 2000}",2.061738409550819
8,SVR,"{'epsilon': 10, 'C': 1, 'max_iter': 2000}",2.6493787624463545
9,SVR,"{'epsilon': 10, 'C': 0.01, 'max_iter': 2000}",2.384302460891439
10,SVR,"{'epsilon': 10, 'C': 0.001, 'max_iter': 2000}",2.3715703771759404
11,SVR,"{'epsilon': 10, 'C': 0.0001, 'max_iter': 2000}",3.4373298031116035
12,SVR,"{'epsilon': 100, 'C': 1, 'max_iter': 2000}",34.330194019699576
13,SVR,"{'epsilon': 100, 'C': 0.01, 'max_iter': 2000}",34.330194019699555
14,SVR,"{'epsilon': 100, 'C': 0.001, 'max_iter': 2000}",34.33019401969957
15,SVR,"{'epsilon': 100, 'C': 0.0001, 'max_iter': 2000}",34.330194019699526
16,SVR,"{'epsilon': 1000, 'C': 1, 'max_iter': 2000}",178.9376197469597
17,SVR,"{'epsilon': 1000, 'C': 0.01, 'max_iter': 2000}",178.9376197469597
18,SVR,"{'epsilon': 1000, 'C': 0.001, 'max_iter': 2000}",178.9376197469597
19,SVR,"{'epsilon': 1000, 'C': 0.0001, 'max_iter': 2000}",178.9376197469597
